#,Name,City,Area
44,"Secteur Lionel-Boulet","Varennes","N/D / 10,042,728 pi2"
45,"Pôle Industriel et d'Affaires Secteur Lavoisier","Sainte-Julie","N/D / 1,071,009 pi2"
46,"Parc Industriel Contrecoeur","Contrecoeur","278,000 m2 / 5,381,955 pi2"
47,"Zone Industrielle Contrecoeur","Contrecoeur","N/D / 27,017,415 pi2"
48,"Parc Industriel de la Ville de Chambly","Chambly","250,838 m2 / 18,499,932 pi2"
49,"Parc Industriel Cap-Santé","Cap-Santé","90,000 m2 / 1,533,319 pi2"
50,"Zone industrielle de Beloeil","Beloeil","200,000 m2 / 21,959,991 pi2"
51,"Parc industriel de Danville","Danville","N/D / N/D"
52,"Parc industriel Les Augustines - Zone Industrialo-portuaire","Gaspé","N/D / 13,859,449 pi2"
53,"Parc industriel de Sandy Beach - Zone industrialo-portuaire","Gaspé","N/D / N/D"
54,"Parc industriel Rivière-au-Renard - Zone industrialo-portuaire","Gaspé","N/D / 2,262,853 pi2"
55,"Zone industrielle de Grande-Vallée","Grande-Vallée","N/D / 4,273,272 pi2"
56,"Parc industriel de Murdochville","Murdochville","N/D / 3,444,451 pi2"
57,"Parc industriel Sainte-Marie - 1","Sainte-Marie","51,000 m2 / 2,421,879 pi2"
58,"Parc industriel Sainte-Marie - 2","Sainte-Marie","150,000 m2 / 11,894,637 pi2"
59,"Parc Industriel de Saint-Bernard","Saint-Bernard","28,554 m2 / 998,678 pi2"
60,"Parc Industriel Saint-Elzéar","Saint-Elzéar","19,695 m2 / 212,000 pi2"
61,"Parc Industriel de Vallée-Jonction","Vallée-Jonction","46,452 m2 / 500,000 pi2"
62,"Parc industriel - St-Lambert","Saint-Lambert-de-Lauzon","100,000 m2 / 11,355,925 pi2"
63,"Parc industriel de St-Isidore","Saint-Isidore","10,964 m2 / 2,451,631 pi2"
64,"Parc industriel de Frampton","Frampton","4,644 m2 / 230,832 pi2"
65,"Parc Industriel de Sainte-Marguerite","Sainte-Marguerite","20,000 m2 / N/D"
66,"Zone Industriel 1 et 2 St-Léonard-de-Portneuf","Saint-Léonard-de-Portneuf","6,477 m2 / 1,883,512 pi2"
67,"Zone Industrielle de Pont-Rouge","Pont-Rouge","294,285 m2 / 6,320,180 pi2"
68,"Zone industrielle de Saint-Gilbert","Saint-Gilbert","43,231 m2 / 2,776,960 pi2"
69,"Parc industriel régional de Sherbrooke","Sherbrooke","633,286 m2 / 64,477,545 pi2"
70,"Parc industriel Gene-H.-Kruger","Sherbrooke","53,196 m2 / 3,425,718 pi2"
71,"Parc scientifique de Sherbrooke","Sherbrooke","440,936 m2 / 7,272,203 pi2"
72,"Technoparc de Sherbrooke","Sherbrooke","30,481 m2 / 5,010,269 pi2"
73,"Parc industriel de Fleurimont","Sherbrooke","35,343 m2 / 3,537,250 pi2"
74,"Parc industriel de Deauville","Sherbrooke","N/D / N/D"
75,"Parc Industriel du Lac-Des-Écorces","Lac-des-Écorces","185,873 m2 / 2,000,720 pi2"
76,"Parc industriel La Macaza","La Macaza","334,509 m2 / 3,600,624 pi2"
77,"Parc industriel de la Rouge","Rivière-Rouge","219,562 m2 / 2,686,263 pi2"
78,"Parc industriel Mont-Laurier","Mont-Laurier","432,907 m2 / 4,659,772 pi2"
79,"Parc de l'Innovation","La Pocatière","29,000 m2 / 1,173,266 pi2"
80,"Pard Industriel de Wotton","Wotton","57,890 m2 / 1,301,862 pi2"
81,"Parc industriel de Saint-Marc-des-Carrières","Saint-Marc-des-Carrières","139,355 m2 / 3,000,000 pi2"
82,"Parc Industriel de Farnham","Farnham","N/D / N/D"
83,"Parc Industriel Fred Gilman","Bedford","N/D / N/D"
84,"Parc Industriel de Cowansville","Cowansville","N/D / N/D"
85,"Parc industriel Germain-Massicotte","Plessisville","191,360 m2 / 7,138,194 pi2"
